"codBus","codLinea","sentido","lon","lat","codParIni","last_update"
"606","1.0","1","-4.429719","36.71246","307","2025-11-18 18:25:04"
"628","1.0","1","-4.4489875","36.701736","1202","2025-11-18 18:25:04"
"640","1.0","2","-4.414675","36.72181","1201","2025-11-18 18:25:04"
"643","1.0","2","-4.41568","36.733234","106","2025-11-18 18:25:04"
"679","1.0","1","-4.4209847","36.729412","1354","2025-11-18 18:25:04"
"680","1.0","2","-4.444751","36.70207","1519","2025-11-18 18:25:04"
"682","1.0","2","-4.4316297","36.709843","362","2025-11-18 18:25:04"
"695","1.0","1","-4.4263067","36.71744","305","2025-11-18 18:25:04"
"696","1.0","1","-4.4163895","36.723698","170","2025-11-18 18:25:04"
"706","1.0","1","-4.463458","36.693275","172","2025-11-18 18:25:04"
"743","1.0","1","-4.416926","36.723026","170","2025-11-18 18:25:04"
"779","1.0","2","-4.420973","36.737255","174","2025-11-18 18:25:04"
"785","1.0","2","-4.4138384","36.720142","1201","2025-11-18 18:25:04"
"760","2.0","1","-4.4177666","36.748047","2626","2025-11-18 18:25:04"
"765","2.0","1","-4.42474","36.718082","229","2025-11-18 18:25:04"
"771","2.0","2","-4.423442","36.741173","256","2025-11-18 18:25:04"
"775","2.0","1","-4.4251356","36.73224","206","2025-11-18 18:25:04"
"533","3.0","1","-4.3678823","36.72248","1135","2025-11-18 18:25:04"
"610","3.0","2","-4.423798","36.717407","370","2025-11-18 18:25:04"
"611","3.0","1","-4.4103394","36.721058","1103","2025-11-18 18:25:04"
"645","3.0","2","-4.384276","36.721893","1162","2025-11-18 18:25:04"
"651","3.0","2","-4.4501796","36.691906","318","2025-11-18 18:25:04"
"732","3.0","1","-4.410731","36.721054","1103","2025-11-18 18:25:04"
"739","3.0","2","-4.3481655","36.721977","1151","2025-11-18 18:25:04"
"590","3.0","1","-4.434816","36.7072","361","2025-11-18 18:25:04"
"672","3.0","2","-4.355576","36.720585","1153","2025-11-18 18:25:04"
"749","3.0","2","-4.4075956","36.721054","1169","2025-11-18 18:25:04"
"596","4.0","2","-4.46307","36.71002","474","2025-11-18 18:25:04"
"662","4.0","2","-4.4481535","36.710995","454","2025-11-18 18:25:04"
"712","4.0","1","-4.456163","36.709435","415","2025-11-18 18:25:04"
"715","4.0","1","-4.4327574","36.713894","417","2025-11-18 18:25:04"
"716","4.0","2","-4.4249225","36.717052","662","2025-11-18 18:25:04"
"591","5.0","1","-4.483683","36.67285","1005","2025-11-18 18:25:04"
"667","5.0","2","-4.466539","36.665726","1011","2025-11-18 18:25:04"
"710","5.0","2","-4.42215","36.71669","3602","2025-11-18 18:25:04"
