route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,1,1,Parque del Sur - Alameda Principal - San Andrés,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=1,12A96A,FFFFFF
2,1,2,Alameda Principal - Ciudad Jardín,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=2,000000,FFFFFF
3,1,3,Puerta Blanca - Alameda Principal - El Palo (Olias),,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=3,CC207D,FFFFFF
4,1,4,Paseo del Parque - Cruz Humilladero - Cortijo Alto,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=4,000000,FFFFFF
5,1,5,Alameda Principal - Guadalmar - Parque de Ocio,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=5,22F4CE,000000
7,1,7,Parque Litoral - Alameda Principal - Carlinda,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=7,000000,FFFFFF
8,1,8,El Palo - Colonia Santa Inés - Clínico,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=8,93BE4D,000000
9,1,9,Alameda Principal - Churriana por C/Maestro Vert,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=9,DA5ED5,000000
10,1,10,Alameda Principal - Churriana por C/ Torremolinos,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=10,000000,FFFFFF
11,1,11,Universidad - Alameda Principal - El Palo (P. Virginia),,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=11,F57B91,000000
14,1,14,Paseo de la Farola - Carranque - Teatinos,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=14,000000,FFFFFF
15,1,15,Virreina - Carlos Haya - Santa Paula,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=15,F57B91,000000
17,1,17,Alameda Principal - Las Virreinas - La Palma,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=17,000000,FFFFFF
18,1,18,Ciudad Jardín - Teatinos,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=18,EA6868,000000
19,1,19,Paseo del Parque - Campanillas - Maqueda (Por O. Gasset),,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=19,000000,FFFFFF
20,1,20,Ciudad Jardín - Alameda Principal - Los Prados,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=20,000000,FFFFFF
21,1,21,Paseo del Parquel - Carlos Haya - Puerto de la  Torre,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=21,D184E4,000000
22,1,22,Avda. de Moliere - Tiro de Pichón - Universidad,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=22,000000,FFFFFF
23,1,23,Paseo del Parque - El Consul -  Parque Cementerio,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=23,000000,FFFFFF
25,1,25,Paseo del Parque - Campanillas - Maqueda,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=25,6C935E,FFFFFF
27,1,27,Avda. M. A. Heredia - Santa Bárbara - P. I. Guadalhorce,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=27,000000,FFFFFF
28,1,28,Santa Águeda - Campanillas - Bda. Los Nuñez,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=28,000000,FFFFFF
29,1,29,Jarazmín - El Palo - Jarazmín,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=29,000000,FFFFFF
30,1,30,Alameda Principal - Mangas Verdes,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=30,000000,FFFFFF
31,1,31,Paseo del Parque - Carranque - Palacio Deportes,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=31,800000,FFFFFF
32,1,32,Av. Andalucía - Limonar - Mayorazgo,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=32,000000,FFFFFF
33,1,33,Av. Andalucía - Cerrado de Calderón,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=33,000000,FFFFFF
34,1,34,Av. Andalucía  - Pedregalejo,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=34,000000,FFFFFF
35,1,35,Av. Andalucía - Gibralfaro,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=35,000000,FFFFFF
36,1,36,Av. Andalucía - Conde Ureña,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=36,000000,FFFFFF
37,1,37,Av. Andalucía - Altamira - Monte Dorado,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=37,000000,FFFFFF
38,1,38,Paseo del Parque - Granja Suárez - San Alberto,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=38,000000,FFFFFF
40,1,40,Paseo de la Farola - Sacaba Beach,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=40,000000,FFFFFF
41,1,N1,Puerta Blanca - Alameda Principal - El Palo (Nocturno 1),,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=41,000000,FFFFFF
42,1,N2,Plaza de la Marina - Circular (Nocturno 2),,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=42,000000,FFFFFF
43,1,N3,Pso. del Parque - Ortega y Gasset -Campanillas (Nocturno 3),,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=43,000000,FFFFFF
44,1,N4,Paseo del Parque - Teatinos - Pto. de la Torre (Nocturno 4),,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=44,000000,FFFFFF
62,1,C5,CIRCULAR 5 - Puerto de la Torre,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=62,000000,FFFFFF
64,1,CC,City Center - Comic Con,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=64,000000,FFFFFF
65,1,L,UMA - Ampliación Campus,,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=65,000000,FFFFFF
70,1,E,Paseo del Parque - PTA  (Exprés),,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=70,257409,FFFFFF
